Thiện Nhân; Con là người nhân ái, có tấm lòng yêu thương bao la
Đức Tài; Mong con trai của bố mẹ lớn lên sẽ là người tài năng, đức độ
Bảo Đức; Con chính là bảo bối của bố mẹ, mong con là người có đức tính tốt
Đức Việt; Con trai sẽ là người thông minh, ưu việt và có phẩm hạnh, tác phong tốt đẹp
Đức Uy; Mong muốn con có nhân phẩm tốt, may mắn, thành công, cuộc sống êm đềm
Hữu Đức; Mong con trai của bố mẹ là người có phẩm chất tốt đẹp, sống có đạo đức
Hữu Nghĩa; Con trai sẽ là người trọng tình nghĩa, thuận theo lẽ phải
Hữu Tâm; Hy vọng con trai lớn lên sẽ trở thành người có tấm lòng nhân ái, khoan dung độ lượng
Đăng Khoa; Người con trai có tài, học vấn cao
Anh Minh; Người con trai thông minh, tài năng
Minh Quang; Con sẽ thông minh, tiền đồ rộng mở
Quang Khải; Con là chàng trai thông minh, thành đạt
Chí Thanh; Con trai sẽ là người thông minh, gan dạ
Khôi Vĩ; Mong con trai khôi ngô, đa tài và mạnh mẽ
Đức Tài; Con trai của bố mẹ là người tài đức vẹn toàn
Đăng Khoa; Hy vọng có tài năng, học cao hiểu rộng
Anh Tuấn; Con là người lịch lãm, thông minh, mạnh mẽ
Thế Bảo; Con sẽ là người thông minh, kiên định, thành đạt
Kiến Văn; Con trai là người hiểu biết, ý chí và sáng suốt
Mạnh Khôi; Mong con trai khi lớn sẽ ngôi ngô, thành đạt
Minh Khôi; Con trai của bố mẹ sẽ thông minh, tài giỏi
Nam Khánh; Con là người mạnh mẽ, có tài, thành công
Mạnh Hùng; Con trai sẽ mạnh mẽ, thông minh, quyết đoán
Công Vinh; Con là người công bằng, sáng suốt, thành công
Gia Huy; Hy vọng con sẽ trở thành người thông minh, tài giỏi
Gia Hưng; Lớn lên con sẽ là người làm rạng danh gia đình, dòng họ
Hữu Đạt; Con trai sẽ thực hiện được mọi ước mơ, sự nghiệp thành đạt
Thành Đạt; Mong muốn con trai sẽ thành công, sự nghiệp vững vàng
Quang Mạnh; Con là người mạnh mẽ, sáng suốt, thông minh, thành đạt
Quang Vinh; Con trai là người thông minh, thành đạt, làm rạng danh gia tộc
Toàn Thắng; Hy vọng con trai thành công, có nhiều niềm vui trong cuộc sống
Đức Trung; Mong con luôn quyết đoán, thông minh, thành công, đức độ
Việt Dũng; Chàng trai của bố mẹ khi lớn lên sẽ thông minh, dũng cảm
Bá Duy; Con là người thông minh, đa tài, cuộc sống hạnh phúc, giàu sang
Minh Nam; Mong con trai thông minh, sáng dạ, mạnh mẽ, làm nên sự nghiệp
Hoàng Nguyên; Con sẽ là người có tầm nhìn xa trông rộng, tiền đồ rộng mở
Xuân Hiếu; Con là người có hiếu, thông minh, đa tài, an nhàn, phú quý
Đình Trung; Mong con trai trở thành người tài giỏi, là niềm tự hào của gia đình
Hữu Khoa; Con là người tài trí, giỏi giang hơn người, tốt tính và sẽ thành công trong tương lai
Hải Đăng; Con trai của bố mẹ giống như ngọn đèn sáng giữa biển, thông minh và tài giỏi
Thái Hưng; Chàng trai của bố mẹ sẽ mạnh mẽ, thông minh, thành công trong mọi lĩnh vực
Quang Khải; Con trai sẽ là người sáng suốt, thông minh, thành công trong công việc và cuộc sống
Huy Hoàng; Mong con trai thông minh, sáng suốt, thành công, có tầm ảnh hưởng đến người khác
Thành Công; Bố mẹ mong con trai sẽ đạt được mục tiêu đề ra, thành công trong mọi lĩnh vực
Mạnh Đức; Con trai sẽ là người tài đức, mạnh mẽ
Quang Mạnh; Con là người mạnh mẽ, không ngại gian khó
Chí Kiên; Con trai sau này sẽ là người kiên cường, nghị lực
Anh Cường; Con trai là người mạnh mẽ, thông minh, thành đạt
Lâm Dũng; Người con trai có ý chí, sức mạnh tựa “núi rừng”
Anh Dũng; Mong con trai sẽ trở thành người mạnh mẽ, kiên cường
Ngọc Dũng; Mong con luôn mạnh mẽ và được mọi người yêu quý
