Huyền Anh; Thể hiện sự thông minh, lanh lợi mà vẫn đầy sự cuốn hút, bí ẩn
Thùy Anh; sự thùy mị, nết na, thông minh
Tú Anh; Con sinh ra là người thanh tú, xinh đẹp
Bảo Anh; Con là một bảo bối quý giá vì sự thông minh, nhanh nhẹn
Diệu Anh; con sẽ mang đến điều kì diệu cho gia đình bởi sự thông minh, sắc sảo của mình
Nguyệt Ánh; mang vẻ đẹp dịu dàng, hiền hòa
Mỹ Châm; người xinh đẹp, sắc sảo, tinh tế
Ngọc Châm; mong con luôn xinh đẹp, đức hạnh và thuần khiết
Bích Diệp; mong muốn con có dung mạo xinh đẹp, sáng ngời, phẩm chất cao quý, thanh tao, luôn kiêu sa quý phái
Thu Diệp; mong con luôn xinh đẹp, trong sáng, giàu sang, an lành, gặp nhiều may mắn
Ánh Diệp; mong muốn con tương lai giàu sang sung túc
Khánh Diệp; mong muốn con luôn xinh đẹp, trong sáng, cuộc sống giàu sang phú quý
Khánh Diệu; Mong con là người xinh đẹp, con là điều tuyệt vời nhất của ba mẹ
Hồng Diệu; mong con luôn xinh đẹp, vui tươi, cuộc sống gặp nhiều may mắn
Huyền Diệu; mong con có được tất cả những gì kỳ lạ, huyền ảo
Minh Khuê; mong con luôn tỏa sáng
Thục khuê; người con gái đài các, hiền thục
Ngọc Khuê; Một viên ngọc trong sáng, thuần khiết
Trúc Khuê; Mong con là người tài hoa, ngay thẳng
Bích Khuê; mong con mang nét đẹp trong sáng, dịu dàng
Bích Liên; mong con có tâm tính thanh khiết, ngay thẳng, không sợ vẩn đục mà vẫn kiên trì vươn lên thể hiện tài năng hơn người
Cẩm Liên; mong con xinh đẹp, rực rỡ, thuần khiết như bông hoa sen
Diễm Liên; mong con diễm lệ, tâm tính thanh cao và thuần khiết như bông hoa sen
Ánh Ngọc; mong con xinh đẹp, sáng suốt, thông minh như có sự soi chiếu của ánh sáng
Bảo Ngọc; viên ngọc quý giá của bố mẹ, xinh đẹp kiêu sa
Diễm Ngọc; rạng ngời như viên ngọc quý
Giáng Ngọc; dung mạo xinh đẹp, tỏa sáng như hòn ngọc quý, trong trắng, thuần khiết
Huyền Ngọc; xinh đẹp như viên ngọc đen huyền ảo
Diệu Ngọc; hòn ngọc dịu dàng
Khánh Ngọc; con là viên ngọc quý mà bố mẹ may mắn có được. Mong con lớn lên xinh đẹp và luôn rạng ngời, luôn may mắn
Như Ngọc; viên ngọc quý giá nhất cuộc đời bố mẹ
Quỳnh Châu; ẩn dụ người có giá trị cao quý, tính cách đặc biệt, mang lại may mắn, thành công cho người khác
Minh Châu; viên ngọc trong sáng, thanh bạch
Thùy Châu; cô gái thùy mị nết na, đoan trang đài các và là viên ngọc quý của bố mẹ
Bảo Châu; viên ngọc trai quý giá
Thanh Bích; mong con có cuộc sống sang trọng, quyền quý với sức khỏe, sự may mắn và hưng vượng
Hồng Bích; nét đẹp nhã nhặn, đằm thắm
Ngọc Bích; mong con xinh đẹp, rực rỡ tỏa sáng như viên ngọc
Nguyệt Bích; mong con có cuộc sống hạnh phúc, tròn đầy như ánh trăng
Nhã Bích; mong con sở hữu học thức uyên bác, cuộc sống dư giả, nhàn hạ
Bảo Vy; Mong cuộc đời con có nhiều vinh hoa, phú quý, tốt lành
Cát Tường; Con luôn luôn may mắn
Gia Hân; Con là cô gái luôn hân hoan, vui vẻ, may mắn, hạnh phúc suốt cả cuộc đời
Hoài An; Con mãi hưởng an bình
Khả Hân; Mong cuộc sống của con luôn đầy niềm vui
Khánh Ngân; Con là cô gái có cuộc đời luôn sung túc, vui vẻ
Linh Chi; Con luôn luôn khỏe mạnh
Thanh Hà; Dòng sông trong xanh, thuần khiết, êm đềm, cuộc đời bé sẽ luôn hạnh phúc, bình lặng, may mắn
Bích Hà; Cuộc đời con như dòng sông trong xanh, êm đềm, phẳng lặng
Thanh Thúy; Mong con sống ôn hòa, hạnh phúc
